subject,grade_group,type,question,options,correct_answer,explanation,key_points
生物,初中,单选,人体吸收营养物质的主要器官是？,胃|小肠|大肠|肝脏,小肠,小肠是消化和吸收的主要场所,
生物,初中,判断,细胞是生物体结构和功能的基本单位。,,对,这是生物学基础概念,
生物,初中,简答,呼吸作用有什么意义？,,呼吸作用能够分解有机物并释放能量供生命活动使用。,分解有机物;释放能量;生命活动
历史,初中,单选,秦始皇统一全国后统一了哪种文字？,甲骨文|小篆|楷书|草书,小篆,秦朝推行书同文,
历史,初中,判断,洋务运动提出了自强求富的口号。,,对,洋务派以此推进近代工业和军事建设,
历史,初中,简答,学习历史为什么要关注时间线？,,时间线有助于理清事件先后关系和发展脉络。,先后关系;发展脉络
地理,初中,单选,世界上面积最大的海洋是哪个？,大西洋|印度洋|太平洋|北冰洋,太平洋,太平洋面积最大,
地理,初中,判断,地图上的方向通常是上北下南左西右东。,,对,普通地图一般遵循这一规则,
地理,初中,简答,影响气候的常见因素有哪些？,,常见因素有纬度位置海陆位置地形等。,纬度位置;海陆位置;地形
政治,初中,单选,公民最基本最重要的权利之一是？,受教育权|名誉权|选举权和被选举权|休息权,选举权和被选举权,这体现公民参与国家政治生活,
政治,初中,判断,遵守法律也是公民应尽的义务。,,对,公民权利与义务统一,
政治,初中,简答,为什么要讲诚信？,,诚信有利于建立信任维护秩序也是做人的基本要求。,建立信任;维护秩序;基本要求
语文,高中,单选,《劝学》作者是谁？,韩愈|荀子|孟子|庄子,荀子,《劝学》出自《荀子》,
语文,高中,判断,议论文论证时可以使用事实论据和道理论据。,,对,两类论据都很常见,
语文,高中,简答,分析诗歌情感时可以关注哪些线索？,,可以关注意象关键词和作者处境等线索。,意象;关键词;作者处境;情感
数学,高中,单选,函数 y=2x+1 的斜率是多少？,1|2|-1|0,2,一次函数中 x 的系数就是斜率,
数学,高中,判断,等差数列中相邻两项的差相等。,,对,公差保持不变,
数学,高中,简答,什么叫做概率？,,概率是描述某个事件发生可能性大小的量。,事件发生;可能性大小
英语,高中,单选,If I ___ time tomorrow I will call you.,have|had|will have|am having,have,条件状语从句常用一般现在时表将来,
英语,高中,判断,非谓语动词可以在句中作定语状语等成分。,,对,非谓语形式用途很多,
英语,高中,简答,阅读理解时为什么要先看题干？,,先看题干有助于带着问题去读文章并更快定位信息。,带着问题;定位信息;提高效率
物理,高中,单选,功的计算公式常写成哪一个？,W=Fs|P=UI|F=ma|v=s/t,W=Fs,力和位移同方向时功等于力乘位移,
物理,高中,判断,动能大小和物体质量与速度都有关。,,对,动能公式中同时含有质量和速度,
物理,高中,简答,什么是电流？,,电流表示电荷定向移动形成的强弱程度。,电荷定向移动;强弱程度
化学,高中,单选,下列哪种微粒带负电？,质子|中子|电子|原子核,电子,电子带负电,
化学,高中,判断,pH 小于7 的溶液一般显酸性。,,对,pH 是酸碱性的常见指标,
化学,高中,简答,化学平衡有什么特点？,,化学平衡是一种动态平衡状态 正逆反应仍在进行但宏观性质保持不变。,动态平衡;正逆反应仍在进行;宏观不变
生物,高中,单选,DNA 的基本组成单位是什么？,氨基酸|葡萄糖|核苷酸|脂肪酸,核苷酸,DNA 由许多核苷酸连接而成,
生物,高中,判断,酶的作用具有专一性。,,对,一种酶通常催化特定反应,
生物,高中,简答,内环境稳态为什么重要？,,内环境稳态能保证细胞和机体生命活动正常进行。,稳态;细胞;生命活动正常
历史,高中,单选,法国大革命爆发于哪一年？,1689年|1776年|1789年|1917年,1789年,1789年是法国大革命爆发的标志年份,
历史,高中,判断,新航路开辟促进了世界各地区联系加强。,,对,全球联系因此明显增强,
历史,高中,简答,历史材料题为什么要结合材料作答？,,因为材料题考查从材料中提取信息并结合所学知识分析问题。,提取信息;结合所学;分析问题
地理,高中,单选,形成三角洲的主要外力作用常见是哪一种？,风化|流水堆积|冰川侵蚀|火山喷发,流水堆积,河流携带泥沙在入海口堆积形成三角洲,
地理,高中,判断,人口迁移会影响地区劳动力结构。,,对,迁移会改变人口数量和结构,
地理,高中,简答,为什么城市热岛效应明显？,,因为城市建筑密集硬化地面多而且人为排热较多。,建筑密集;硬化地面;人为排热
政治,高中,单选,市场配置资源主要依靠哪几种机制？,价格供求竞争|命令服从奖励|情绪习惯宣传|人口土地气候,价格供求竞争,市场机制核心包括价格供求和竞争,
政治,高中,判断,依法纳税是公民和企业应承担的重要义务之一。,,对,税收是国家财政的重要来源,
政治,高中,简答,为什么要坚持绿色发展？,,绿色发展有利于节约资源保护环境并实现可持续发展。,节约资源;保护环境;可持续发展
Python,高中,单选,Python 中用哪个函数可以输出内容到屏幕？,input|len|print|type,print,print 用于输出内容,
Python,高中,多选,下面哪些是 Python 中常见的循环关键字？,for|while|loop|iterate,for|while,for 和 while 是常见循环语句,for;while;循环
Python,高中,判断,Python 中变量名可以由字母数字下划线组成。,,对,但不能以数字开头,
Python,高中,简答,什么是变量？,,变量是程序中用来保存和表示数据的名字。,保存数据;名字/标识
高等数学,大学,单选,函数在一点连续通常要求什么？,左右极限都不存在|极限存在且等于函数值|函数值为0|导数大于0,极限存在且等于函数值,连续的核心判定是极限和函数值一致,
高等数学,大学,判断,定积分可以表示曲边梯形面积等量。,,对,这是定积分的常见几何意义,
高等数学,大学,简答,极限思想在高等数学中有什么作用？,,极限思想是研究连续变化导数积分等概念的重要基础。,连续变化;导数;积分;基础
大学英语,大学,单选,Which word is closest to the meaning of analyze?,sleep|examine|forget|arrive,examine,analyze 常表示分析研究,
大学英语,大学,判断,A topic sentence usually states the main idea of a paragraph.,,对,topic sentence 常用于概括段落主旨,
大学英语,大学,简答,Why should you pay attention to transition words in reading?,,Because transition words help you follow the logic and relationship between ideas.,logic;relationship between ideas;follow
计算机基础,大学,单选,下列哪一个属于输入设备？,显示器|键盘|音箱|投影仪,键盘,键盘用于输入数据,
计算机基础,大学,判断,操作系统负责管理硬件和软件资源。,,对,这是操作系统的核心作用,
计算机基础,大学,简答,什么是文件系统？,,文件系统是操作系统管理和组织文件的一套规则与结构。,管理文件;组织文件;规则/结构
程序设计,大学,单选,面向对象编程中封装强调什么？,隐藏实现细节|只写一个函数|不用数据|只用循环,隐藏实现细节,封装强调对外暴露接口而隐藏内部实现,
程序设计,大学,判断,算法需要具备有穷性。,,对,算法必须在有限步骤后结束,
程序设计,大学,简答,什么是调试？,,调试是查找分析并修正程序错误的过程。,查找错误;分析错误;修正错误
Python,大学,单选,Python 中哪个数据类型通常用花括号和键值对表示？,list|tuple|dict|set,dict,字典使用键值对组织数据,
Python,大学,多选,下面哪些操作常用于列表？,append|sort|compile|pop,append|sort|pop,append sort pop 都是列表常见操作,append;sort;pop
Python,大学,判断,函数可以有参数也可以没有参数。,,对,Python 支持灵活的函数定义,
Python,大学,简答,异常处理的作用是什么？,,异常处理可以在程序出错时捕获问题并避免程序直接崩溃。,捕获问题;处理错误;避免崩溃
经济学,大学,单选,当需求增加而供给不变时价格通常会怎样？,下降|上升|不变|无法判断,上升,需求增加常推动价格上涨,
经济学,大学,判断,机会成本是做出选择时放弃的次优方案价值。,,对,机会成本体现选择的代价,
经济学,大学,简答,什么是供给？,,供给是生产者在一定时期和一定价格条件下愿意并能够提供的商品数量。,生产者;愿意并能够提供;商品数量
